what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096733817
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096736347
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096740297
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1386096747231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096751829
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096753687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096754024
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096756351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096758870
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096760444
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1386096760454
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096760729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096761452
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1386096763951
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1386096764954
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1386096766595
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096770793
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096786519
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1386096803962
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096815732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096843909
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1386096849952
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1386096864407
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1386096881954
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096887376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096898837
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096899612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096900032
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1386096915225
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096923944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386096937976
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1386096938321
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1386096938357
