what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.304.v201102160550,"org.eclipse.wst.jsdt.web.core",1385118682810
started,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1385118682857
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1385118682935
started,bundle,org.eclipse.jst.jsf.ui,1.3.1.v20100906,"org.eclipse.jst.jsf.ui",1385118682951
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1385118683013
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1385118683076
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1385118683123
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385118688904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385118765068
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385118784460
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1385118784597
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.15,"org.tigris.subversion.clientadapter.javahl",1385118784703
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1385118784717
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385118786959
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1385118803287
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385118804032
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385118807596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385118807899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385118813141
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1385118816075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385118824041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385118826782
