what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664417339
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1385664421359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664429434
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1385664429439
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1385664445797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664448086
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664452559
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1385664463993
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1385664471650
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1385664471678
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1385664483789
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664492828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1385664512428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664513012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664543318
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664546507
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664547742
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664554950
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664574819
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664575194
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664575713
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664582629
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664582872
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664583094
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1385664584194
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664584916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664585943
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664586202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664595449
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664601943
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664602154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664602347
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664602729
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664602967
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664603193
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1385664621602
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664622523
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664632938
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1385664638337
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1385664643679
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385664661246
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664662031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664662318
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664662572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664663027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664663313
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664663599
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1385664664527
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664665129
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664675306
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664676746
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1385664678061
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1385664681256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664685335
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664685572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664685786
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664686019
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664686234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664686489
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1385664687237
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664687802
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385664695924
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664697158
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385664697378
