what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384036349997
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384036360841
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384036361716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384036362169
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384036398030
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384036399733
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384036411421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384036455876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384036460735
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384036463767
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1384036468282
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1384036475423
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1384036484252
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384036485095
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384036485627
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1384036486955
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1384037000345
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.2.v201101042130,"org.eclipse.jst.jsf.facelet.core",1384037008126
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1384037008626
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1384037008939
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1384037013283
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1384037013673
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1384037015752
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1384037025643
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1384037042018
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1384037050815
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384037059253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384037804159
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1384037809050
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384037811753
