what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739277067
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739277519
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739277883
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739280783
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383739301445
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383739314669
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383739315773
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383739315796
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1383739325355
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739325953
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739569850
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383739573643
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739579537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739586203
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383739586536
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383739586557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1383739588549
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739598177
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739598274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739601750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739601879
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739605562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739605695
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1383739656612
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1383739657005
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1383739657654
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1383739657995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739673273
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739673447
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739687643
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739687785
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739693001
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739693143
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739696931
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739697056
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383739707909
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383739717864
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1383739744087
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1383739760969
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1383739779837
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1383739787990
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1383739793854
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1383739795226
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383739796050
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383739855124
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383739957352
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383739963340
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383739963365
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383739990059
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383739992797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383740021153
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383740022469
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383740029015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383740032207
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383740041503
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383740041857
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383740041879
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383740049454
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383740049704
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1383740057917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383740058566
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383740157032
