what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1383605169190
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383605273335
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383605700553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383605703558
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383606469413
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1383606471077
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1383606474390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383606477565
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383606480679
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1383606480840
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1383606481550
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1383606483531
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383606488665
executed,command,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.junitShortcut.run",1383606493090
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1383606498276
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1383606504339
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383606504987
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383606511648
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383606514136
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383606515767
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383606517099
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383606529239
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383606534131
