what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549684585
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549686085
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1385549688554
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549691273
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549713258
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385549713617
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385549713648
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549726727
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549727961
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385549729852
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385549738946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549739446
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549771104
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385549776682
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385549782463
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549787714
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549787729
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549790901
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549791073
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385549797480
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385549806902
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549807386
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549808808
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385549810558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385549815246
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1385549816840
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385549818340
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385549830497
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549832465
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549833090
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385549834325
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385549839075
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385549844794
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385549856982
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549857591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549887702
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385549891046
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385549899171
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385549901874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549903124
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549929860
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549930641
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549931031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385549937282
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385549946251
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385549951438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549954923
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549955064
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385549960548
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385549969642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385549970267
