what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743013906
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743022022
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743024646
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743025584
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743029904
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383743032289
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383743042440
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743043192
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743044015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743044807
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743066379
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383743068694
executed,command,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.junitShortcut.run",1383743071292
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1383743075134
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743076122
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743096616
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383743101356
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383743109054
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743109694
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743110434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743111282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743112564
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743112928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743114746
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383743117336
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383743128959
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743129785
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743130292
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383743130812
