what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1385463822371
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1385463822386
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385463825746
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1385463825777
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385463840043
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385463840043
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1385463847825
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385463848091
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385463848122
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385463855075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385463855700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385463856591
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385463856888
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385463859263
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1385463865732
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385463868185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385463882342
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385463882701
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385463882717
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385463885670
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464092851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1385464094132
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464099663
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464099804
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464102382
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464102523
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464104820
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464104976
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464107601
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464107742
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464110570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464110742
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464127524
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464129790
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1385464148822
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464150197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464155853
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464155978
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464159963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464159994
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464163150
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464163275
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464165916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464166072
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464187073
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464187229
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464192527
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464196199
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464213434
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464215434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464228278
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464228403
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464273624
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464278139
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464280483
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464287124
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1385464294906
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464296375
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1385464298422
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464307625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464307781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464315547
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385464315704
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1385464318516
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1385464334892
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1385464352611
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1385464353111
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1385464353268
started,bundle,org.maven.ide.eclipse.editor.xml,0.10.2.20100623-1649,"org.maven.ide.eclipse.editor.xml",1385464353268
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1385464353955
